T,Smoothed_Pro
3567,9.927054031247504e-07
3568,9.926593968316472e-07
3569,9.926138746182408e-07
3570,9.925688367021317e-07
3571,9.92524283300056e-07
3572,9.924802146278871e-07
3573,9.92436630900633e-07
3574,9.923935323324395e-07
3575,9.923509191365868e-07
3576,9.923087915254923e-07
3577,9.922671497107093e-07
3578,9.922259939029273e-07
3579,9.921853243119717e-07
3580,9.921451411468045e-07
3581,9.92105444615523e-07
3582,9.920662349253616e-07
3583,9.9202751228269e-07
3584,9.919892768930148e-07
3585,9.91951528960978e-07
3586,9.919142686903584e-07
3587,9.918774962840702e-07
3588,9.918412119441642e-07
3589,9.918054158718273e-07
3590,9.917701082673829e-07
3591,9.917352893302892e-07
3592,9.917009592591427e-07
3593,9.916671182516735e-07
3594,9.916337665047497e-07
3595,9.916009042143752e-07
3596,9.915685315756896e-07
3597,9.915366487829684e-07
3598,9.91505256029624e-07
3599,9.914743535082043e-07
3600,9.91443941410394e-07
3601,9.914140199270133e-07
3602,9.91384589248019e-07
3603,9.913556495625032e-07
3604,9.913272010586948e-07
3605,9.912992439239595e-07
3606,9.912717783447975e-07
3607,9.912448045068463e-07
3608,9.912183225948796e-07
3609,9.911923327928066e-07
3610,9.911668352836728e-07
3611,9.9114183024966e-07
3612,9.911173178720858e-07
3613,9.910932983314048e-07
3614,9.910697718072068e-07
3615,9.91046738478218e-07
3616,9.910241985223007e-07
3617,9.910021521164536e-07
3618,9.90980599436811e-07
3619,9.909595406586442e-07
3620,9.909389759563596e-07
3621,9.909189055035007e-07
3622,9.908993294727466e-07
3623,9.908802480359121e-07
3624,9.908616613639492e-07
3625,9.90843569626945e-07
3626,9.90825972994124e-07
3627,9.90808871633845e-07
3628,9.907922657136044e-07
3629,9.90776155400034e-07
3630,9.907605408589027e-07
3631,9.907454222551144e-07
3632,9.907307997527096e-07
3633,9.907166735148647e-07
3634,9.907030437038929e-07
3635,9.906899104812425e-07
3636,9.90677274007499e-07
3637,9.906651344423833e-07
3638,9.906534919447524e-07
3639,9.906423466726005e-07
3640,9.906316987830562e-07
3641,9.906215484323857e-07
3642,9.906118957759903e-07
3643,9.906027409684086e-07
3644,9.905940841633141e-07
3645,9.905859255135175e-07
3646,9.905782651709642e-07
3647,9.905711032867374e-07
3648,9.905644400110555e-07
3649,9.90558275493273e-07
3650,9.90552609881881e-07
3651,9.905474433245063e-07
3652,9.905427759679119e-07
3653,9.90538607957997e-07
3654,9.905349394397976e-07
3655,9.90531770557484e-07
3656,9.90529101454365e-07
3657,9.905269322728837e-07
3658,9.905252631546197e-07
3659,9.905240942402895e-07
3660,9.905234256697454e-07
3661,9.90523257581975e-07
3662,9.905235901151032e-07
3663,9.905244234063904e-07
3664,9.90525757592233e-07
3665,9.905275928081645e-07
3666,9.90529929188853e-07
3667,9.905327668681037e-07
3668,9.905361059788583e-07
3669,9.905399466531936e-07
3670,9.905442890223233e-07
3671,9.90549133216597e-07
3672,9.905544793654998e-07
3673,9.905603275976544e-07
3674,9.905666780408182e-07
3675,9.905735308218856e-07
3676,9.905808860668866e-07
3677,9.905887439009877e-07
3678,9.90597104448491e-07
3679,9.906059678328359e-07
3680,9.906153341765964e-07
3681,9.906252036014837e-07
3682,9.906355762283446e-07
3683,9.90646452177163e-07
3684,9.906578315670567e-07
3685,9.906697145162824e-07
3686,9.906821011422313e-07
3687,9.906949915614308e-07
3688,9.907083858895448e-07
3689,9.907222842413735e-07
3690,9.907366867308524e-07
3691,9.907515934710545e-07
3692,9.90767004574187e-07
3693,9.907829201515952e-07
3694,9.907993403137595e-07
3695,9.908162651702963e-07
3696,9.908336948299588e-07
3697,9.908516294006359e-07
3698,9.908700689893529e-07
3699,9.908890137022705e-07
3700,9.90908463644686e-07
3701,9.909284189210336e-07
3702,9.909488796348826e-07
3703,9.909698458889385e-07
3704,9.909913177850433e-07
3705,9.910132954241754e-07
3706,9.910357789064484e-07
3707,9.910587683311124e-07
3708,9.91082263796555e-07
3709,9.911062654002975e-07
3710,9.911307732389989e-07
3711,9.91155787408454e-07
3712,9.91181308003594e-07
3713,9.912073351184861e-07
3714,9.912338688463326e-07
3715,9.912609092794738e-07
3716,9.912884565093846e-07
3717,9.913165106266766e-07
3718,9.913450717210978e-07
3719,9.913741398815316e-07
3720,9.914037151959985e-07
3721,9.914337977516541e-07
3722,9.914643876347909e-07
3723,9.914954849308376e-07
3724,9.91527089724358e-07
3725,9.915592020990533e-07
3726,9.915918221377597e-07
3727,9.916249499224506e-07
3728,9.916585855342349e-07
3729,9.916927290533575e-07
3730,9.917273805591997e-07
3731,9.917625401302794e-07
3732,9.917982078442495e-07
3733,9.918343837779e-07
3734,9.91871068007157e-07
3735,9.919082606070817e-07
3736,9.919459616518727e-07
3737,9.919841712148642e-07
3738,9.920228893685262e-07
3739,9.920621161844656e-07
3740,9.921018517334243e-07
3741,9.921420960852816e-07
3742,9.921828493090522e-07
3743,9.922241114728872e-07
3744,9.922658826440734e-07
3745,9.923081628890343e-07
3746,9.923509522733292e-07
3747,9.923942508616535e-07
3748,9.92438058717839e-07
3749,9.924823759048533e-07
3750,9.925272024848002e-07
3751,9.9257253851892e-07
3752,9.926183840675888e-07
3753,9.926647391903187e-07
3754,9.927116039457583e-07
3755,9.927589783916923e-07
3756,9.92806862585041e-07
3757,9.92855256581861e-07
3758,9.92904160437346e-07
3759,9.929535742058248e-07
3760,9.930034979407624e-07
3761,9.9305393169476e-07
3762,9.931048755195553e-07
3763,9.931563294660218e-07
3764,9.932082935841694e-07
3765,9.932607679231437e-07
3766,9.93313752531227e-07
3767,9.93367247455837e-07
3768,9.934212527435284e-07
3769,9.934757684399911e-07
3770,9.93530794590052e-07
3771,9.935863312376736e-07
3772,9.936423784259545e-07
3773,9.936989361971298e-07
3774,9.937560045925707e-07
3775,9.938135836527839e-07
3776,9.93871673417413e-07
3777,9.939302739252373e-07
3778,9.939893852141723e-07
3779,9.9404900732127e-07
3780,9.941091402827178e-07
3781,9.9416978413384e-07
3782,9.942309389090965e-07
3783,9.942926046420834e-07
3784,9.94354781365533e-07
3785,9.944174691113142e-07
3786,9.94480667910431e-07
3787,9.945443777930248e-07
3788,9.94608598788372e-07
3789,9.946733309248854e-07
3790,9.947385742301149e-07
3791,9.948043287307447e-07
3792,9.948705944525969e-07
3793,9.949373714206289e-07
3794,9.950046596589343e-07
3795,9.95072459190743e-07
3796,9.951407700384207e-07
3797,9.952095922234692e-07
3798,9.95278925766527e-07
3799,9.953487706873686e-07
3800,9.95419127004904e-07
3801,9.954899947371801e-07
3802,9.955613739013794e-07
3803,9.956332645138206e-07
3804,9.95705666589959e-07
3805,9.95778580144385e-07
3806,9.958520051908267e-07
3807,9.95925941742147e-07
3808,9.960003898103453e-07
3809,9.960753494065573e-07
3810,9.961508205410548e-07
3811,9.962268032232453e-07
3812,9.96303297461673e-07
3813,9.963803032640186e-07
3814,9.964578206370975e-07
3815,9.965358495868626e-07
3816,9.966143901184023e-07
3817,9.96693442235941e-07
3818,9.9677300594284e-07
3819,9.968530812415955e-07
3820,9.969336681338412e-07
3821,9.970147666203461e-07
3822,9.970963767010152e-07
3823,9.971784983748903e-07
3824,9.972611316401484e-07
3825,9.973442764941038e-07
3826,9.974279329332063e-07
3827,9.975121009530417e-07
3828,9.975967805483318e-07
3829,9.97681971712935e-07
3830,9.977676744398458e-07
3831,9.978538887211946e-07
3832,9.979406145482482e-07
3833,9.980278519114089e-07
3834,9.981156008002158e-07
3835,9.98203861203344e-07
3836,9.982926331086048e-07
3837,9.983819165029445e-07
3838,9.984717113724474e-07
3839,9.98562017702333e-07
3840,9.986528354769568e-07
3841,9.987441646798104e-07
3842,9.988360052935223e-07
3843,9.989283572998555e-07
3844,9.990212206797109e-07
3845,9.991145954131246e-07
3846,9.992084814792693e-07
3847,9.993028788564534e-07
3848,9.993977875221215e-07
3849,9.994932074528547e-07
3850,9.995891386243695e-07
3851,9.996855810115193e-07
3852,9.997825345882935e-07
3853,9.99879999327817e-07
3854,9.999779752023517e-07
3855,1.0000764621832947e-06
3856,1.0001754602411805e-06
3857,1.000274969345678e-06
3858,1.000374989465594e-06
3859,1.0004755205688706e-06
3860,1.0005765626225856e-06
3861,1.0006781155929537e-06
3862,1.0007801794453255e-06
3863,1.0008827541441876e-06
3864,1.0009858396531624e-06
3865,1.0010894359350093e-06
3866,1.001193542951623e-06
3867,1.0012981606640352e-06
3868,1.0014032890324126e-06
3869,1.001508928016059e-06
3870,1.0016150775734138e-06
3871,1.0017217376620533e-06
3872,1.0018289082386883e-06
3873,1.0019365892591673e-06
3874,1.0020447806784746e-06
3875,1.0021534824507303e-06
3876,1.0022626945291905e-06
3877,1.002372416866248e-06
3878,1.0024826494134308e-06
3879,1.0025933921214047e-06
3880,1.0027046449399697e-06
3881,1.0028164078180632e-06
3882,1.0029286807037582e-06
3883,1.0030414635442643e-06
3884,1.0031547562859263e-06
3885,1.0032685588742262e-06
3886,1.0033828712537815e-06
3887,1.003497693368346e-06
3888,1.0036130251608098e-06
3889,1.0037288665731985e-06
3890,1.003845217546675e-06
3891,1.0039620780215368e-06
3892,1.004079447937219e-06
3893,1.0041973272322918e-06
3894,1.0043157158444622e-06
3895,1.0044346137105727e-06
3896,1.0045540207666027e-06
3897,1.0046739369476668e-06
3898,1.0047943621880163e-06
3899,1.0049152964210392e-06
3900,1.0050367395792584e-06
3901,1.0051586915943337e-06
3902,1.0052811523970604e-06
3903,1.0054041219173714e-06
3904,1.0055276000843337e-06
3905,1.0056515868261518e-06
3906,1.0057760820701663e-06
3907,1.0059010857428532e-06
3908,1.0060265977698253e-06
3909,1.0061526180758311e-06
3910,1.0062791465847555e-06
3911,1.0064061832196192e-06
3912,1.0065337279025795e-06
3913,1.0066617805549295e-06
3914,1.0067903410970986e-06
3915,1.0069194094486524e-06
3916,1.007048985528292e-06
3917,1.0071790692538558e-06
3918,1.0073096605423168e-06
3919,1.0074407593097858e-06
3920,1.0075723654715082e-06
3921,1.0077044789418666e-06
3922,1.0078370996343795e-06
3923,1.0079702274617014e-06
3924,1.0081038623356224e-06
3925,1.0082380041670698e-06
3926,1.008372652866106e-06
3927,1.0085078083419306e-06
3928,1.008643470502879e-06
3929,1.0087796392564214e-06
3930,1.0089163145091656e-06
3931,1.0090534961668556e-06
3932,1.0091911841343708e-06
3933,1.009329378315727e-06
3934,1.009468078614076e-06
3935,1.0096072849317062e-06
3936,1.0097469971700414e-06
3937,1.0098872152296422e-06
3938,1.0100279390102051e-06
3939,1.0101691684105626e-06
3940,1.010310903328683e-06
3941,1.010453143661672e-06
3942,1.01059588930577e-06
3943,1.0107391401563542e-06
3944,1.0108828961079378e-06
3945,1.0110271570541706e-06
